aggregation_level,service_mode,reporting_group,measure_group,measure,category,weighted_percent,ObjectId
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Race and Ethnicity,Race,Prefer not to say,0.0191805186133744,7790
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Fare Product,Student Pass (M7),0.00964385843121977,7791
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Access Mode,Access to First MBTA Service,Carpooled or Dropped off by Personal Vehicle,0.0157522161518675,7792
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Other Demographics,Gender,Male,0.389532818672756,7793
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Trip Purpose and Frequency,Frequency,1 to 2 days per week,0.145396213054447,7794
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Race and Ethnicity,Title VI Minority,Yes,0.490980126971237,7795
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Fare Product,Semester Pass,0.00521304125198713,7796
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Access Mode,Access to First MBTA Service,Drove Alone,0.00187070853085606,7797
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Trip Purpose and Frequency,Frequency,1 to 3 days per month,0.0817641019808987,7798
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Race and Ethnicity,Title VI Minority,No,0.509019873028763,7799
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Other Demographics,Gender,Non-Binary,0.0217172266318727,7800
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Fare Product,1-day Pass,0.00900629223493358,7801
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Access Mode,Access to First MBTA Service,Private Shuttle or Other Transit,0.00176441827342106,7802
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Other Demographics,Gender,Other,0.00158747417636186,7803
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Fare Product,Other,0.00941424275428597,7804
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Trip Purpose and Frequency,Frequency,Less than once per month,0.0838031513307796,7805
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Trip Purpose and Frequency,Frequency,6 to 7 days per week,0.0180120287118364,7806
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Access Mode,Access to First MBTA Service,Taxi or Rideshare Company,0.00839693033736528,7807
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Other Demographics,Gender,Prefer not to say,0.00601645464100612,7808
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Reduced Fares,Full Fare,0.909737301833499,7809
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Trip Purpose and Frequency,Trip Purpose,Home-based Work,0.530642374103656,7810
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Trip Purpose and Frequency,Frequency,5 days per week,0.335219496561163,7811
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Access Mode,Access to First MBTA Service,"Bike, Scooter or Other Micromobility",0.00924725239684531,7812
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Hispanic or Latine,Yes,0.118972526705043,7813
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Reduced Fares,Full Fare - Subsidized by Employer,0.0535466998348025,7814
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Trip Purpose and Frequency,Trip Purpose,Home-based School,0.144324856335524,7815
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Trip Purpose and Frequency,Frequency,3 to 4 days per week,0.327744861955662,7816
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Access Mode,Access to First MBTA Service,The RIDE,0.000333042806629678,7817
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Hispanic or Latine,No,0.861074965263228,7818
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Reduced Fares,Student (S-Card or M7),0.00738935997470831,7819
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Trip Purpose and Frequency,Trip Purpose,Home-based Social Activity,0.145660584454755,7820
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Trip Purpose and Frequency,Frequency,1 to 2 days per week,0.167010983490117,7821
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Alternative Modes,Alternative Mode,Different MBTA Service,0.341191328141444,7822
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Hispanic or Latine,Prefer not to say,0.0199525080317299,7823
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Trip Purpose and Frequency,Trip Purpose,Home-based Other,0.119434503966364,7824
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Reduced Fares,Senior CharlieCard,0.00676597317358799,7825
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Trip Purpose and Frequency,Frequency,1 to 3 days per month,0.0641548140833521,7826
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Alternative Modes,Alternative Mode,Drive Alone,0.202904651652284,7827
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Race,American Indian or Alaska Native,0.0261847577763458,7828
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Fares,Reduced Fares,Youth Pass,0.00191543015915659,7829
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Park Street,Trip Purpose and Frequency,Trip Purpose,Non-home Based,0.0599376811397004,7830
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,North Station,Trip Purpose and Frequency,Frequency,Less than once per month,0.0878578151978703,7831
Reporting Group,Rapid Transit or Bus Rapid Transit - Green Line,Northeastern to Longwood Medical Area,Race and Ethnicity,Race,Asian,0.236783140999356,7832
